source_concept_class,target_concept,pcornet_name,source_concept_id,concept_description,value_as_concept_id
Dose unit,%,percent,8554,percent,null
Dose unit,cm,centimeter,8582,centimeter,null
Dose unit,g,gram,8504,gram,null
Dose unit,g/kg,gram per kilogram,9512,gram per kilogram,null
Dose unit,g/m2,gram per square meter,9513,gram per square meter,null
Dose unit,/[IU],per international unit,,,null
Dose unit,/[IU]/mL,per international unit per milliliter,,,null
Dose unit,meq,milliequivalent,9551,milliequivalent,null
Dose unit,meq/kg,milliequivalent per kilogram,9556,milliequivalent per kilogram,null
Dose unit,meq/kg/h,milliequivalent per kilogram per hour,,,null
Dose unit,mg,milligram,8576,milligram,null
Dose unit,mg/h,milligram per hour,44777610,milligram per hour,null
Dose unit,mg/kg,milligram per kilogram,9562,milligram per kilogram,null
Dose unit,mg/kg/d,milligram per kilogram per day,,,null
Dose unit,mg/kg/h,milligram per kilogram per hour,9691,milligram per kilogram per hour,null
Dose unit,mg/kg/min,milligram per kilogram per minute,9692,milligram per kilogram per minute,null
Dose unit,mg/m2,milligram per square meter,9563,milligram per square meter,null
Dose unit,mg/mL,milligram per milliliter,8861,milligram per milliliter,null
Dose unit,10*6.[IU],million international unit,,,null
Dose unit,mL,milliliter,8587,milliliter,null
Dose unit,mL/h,milliliter per hour,44777613,milliliter per hour,null
Dose unit,mL/kg,milliliter per kilogram,9571,milliliter per kilogram,null
Dose unit,mL/kg/h,milliliter per kilogram per hour,,,null
Dose unit,mL/m2,milliliter per square meter,,,null
Dose unit,mmol,millimole,9573,millimole,null
Dose unit,mmol/kg,millimole per kilogram,9577,millimole per kilogram,null
Dose unit,ng/kg/min,nanogram per kilogram per minute,,,null
Dose unit,[oz_av],ounce (US and British),9304,fluid ounce (US),null
Dose unit,[tbs_us],tablespoon (US),9412,tablespoon,null
Dose unit,[tsp_us],teaspoon (US),9416,teaspoon,null
Dose unit,ug,microgram,9655,microgram,null
Dose unit,ug/d,microgram per day,8906,microgram per 24 hours,null
Dose unit,ug/h,microgram per hour,44777645,microgram per hour,null
Dose unit,ug/kg,microgram per kilogram,9662,microgram per kilogram,null
Dose unit,ug/kg/h,microgram per kilogram per hour,9690,microgram per kilogram per hour,null
Dose unit,ug/kg/min,microgram per kilogram per minute,,,null
Dose unit,ug/m2,microgram per square meter,9663,microgram per square meter,null
Dose unit,ug/min,microgram per minutes,8774,microgram per minute,null
Dose unit,[IU]/h,international unit per hour,9687,international unit per hour,null
Dose unit,[IU]/kg,international unit per kilogram,9335,international unit per kilogram,null
Dose unit,[IU]/kg/h,international unit per kilogram per hour,,,null
Dose unit,[IU]/min,international unit per minute,,,null
Dose unit,[IU]/mL,international unit per milliliter,8985,international unit per milliliter,null
Dose unit,NI,No information,44814650,,null
Dose unit,UN,Unknown,44814653,,null
Dose unit,OT,Other,44814649,,null
dx_poa,Y,Diagnosis present,4188539,Yes,null
dx_poa,N,Diagnosis not present,4188540,No,null
dx_poa,U,Insufficient documentation,,,null
dx_poa,W,Clinically undetermined,,,null
dx_poa,1,Unreported / not used,0,none,null
dx_poa,NI,No information,44814650,No Information,null
dx_poa,UN,Unknown,44814653,Unknown,null
dx_poa,OT,Other,44814649,Other,null
Facility type,ADULT_DAY_CARE_CENTER,OTHER_CARE_SITE-subset,8882,Adult Living Care Facility,
Facility type,AMBULANCE_BASED_CARE,OTHER_OUTPATIENT_CARE_SITE-subset,8850,Ambulance - Air or Water,
Facility type,AMBULANCE_BASED_CARE,OTHER_OUTPATIENT_CARE_SITE-subset,8668,Ambulance - Land,
Facility type,AMBULATORY_CARE_SITE_OTHER_,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,AMBULATORY_SURGERY_CENTER,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,8883,Ambulatory Surgical Center,
Facility type,CARE_OF_THE_ELDERLY_DAY_HOSPITAL,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,CHILD_DAY_CARE_CENTER,OTHER_CARE_SITE-subset,,,
Facility type,CONTAINED_CASUALTY_SETTING,OTHER_OUTPATIENT_CARE_SITE-subset,,,
Facility type,DIALYSIS_UNIT_HOSPITAL,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,,,
Facility type,ELDERLY_ASSESSMENT_CLINIC,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,EMERGENCY_DEPARTMENT_HOSPITAL,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,8870,Emergency Room - Hospital,
Facility type,EMERGENCY_DEPARTMENT_HOSPITAL,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,9203,Emergency department,
Facility type,FEE_FOR_SERVICE_PRIVATE_PHYSICIANS_GROUP_OFFICE,INDEPENDENT_PROVIDER_OF_OUTPATIENT_AMBULATORY_CARE-subset,,,
Facility type,FREE_STANDING_AMBULATORY_SURGERY_FACILITY,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,FREE_STANDING_BIRTHING_CENTER,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,FREE_STANDING_GERIATRIC_HEALTH_CENTER,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,FREE_STANDING_LABORATORY_FACILITY,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,FREE_STANDING_MENTAL_HEALTH_CENTER,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,FREE_STANDING_RADIOLOGY_FACILITY,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,HEALTH_ENCOUNTER_SITE_NOT_LISTED,OTHER_CARE_SITE-subset,,,
Facility type,HEALTH_MAINTENANCE_ORGANIZATION,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,HELICOPTER_BASED_CARE,OTHER_OUTPATIENT_CARE_SITE-subset,,,
Facility type,HOSPICE_FACILITY,INPATIENT_HEALTH_FACILITY_CARE-subset,8546,Hospice,
Facility type,PSYCHOGERIATRIC_DAY_HOSPITAL,CLINIC/CENTER_AMBULATORY_OUTPATIENT_CARE-subset,,,
Facility type,HOSPITAL_BASED_OUTPATIENT_CLINIC_OR_DEPARTMENT_OTHER,HOSPITAL_OUTPATIENT_CLINIC-AMBULATORY_CARE-subset,,,
Facility type,HOSPITAL_CHILDRENS,INPATIENT_HEALTH_FACILITY_CARE-subset,,,
Facility type,HOSPITAL_COMMUNITY,INPATIENT_HEALTH_FACILITY_CARE-subset,,,
Facility type,HOSPITAL_GOVERNMENT,INPATIENT_HEALTH_FACILITY_CARE-subset,,,
Facility type,HOSPITAL_LONG_TERM_CARE,INPATIENT_HEALTH_FACILITY_CARE-subset,42898160,long term care visit,
Facility type,HOSPITAL_MILITARY_FIELD,INPATIENT_HEALTH_FACILITY_CARE-subset,8905,Military Treatment Facility,
Facility type,HOSPITAL_PRISON,INPATIENT_HEALTH_FACILITY_CARE-subset,38003619,Prison/Correctional Facility,
