source_concept_class,target_concept,pcornet_name,source_concept_id,concept_description,value_as_concept_id
imm_body_site,RUA,RUA=right upper arm,4274743,Right upper arm structure,
imm_body_site,RH,RH=right hand,4302584,structure of right hand,
imm_body_site,BU,BU=buttock,4180330,buttock,
imm_body_site,REJ,REJ=right external juglar,36695683,Structure of right internal jugular vein,
imm_body_site,RF,RF=right foot,4298982,structure of right foot,
imm_body_site,LD,LD=left deltoid,35632108,Left Deltoid,
imm_body_site,LG,LG=left gluteus medius,44516524,Left upper quad. gluteus,
imm_body_site,LLAQ,LLAQ=left lower abd quadrant,4285903,left lower quad abdomen,
imm_body_site,LLFA,LLFA=left lower forearm,4283512,left lower forearm,
imm_body_site,LA,LA=left arm,46233636,left arm,
imm_body_site,LT,LT=left thigh,4264018,left thigh,
imm_body_site,LUA,LUA=left upper arm,4283159,Left Upper Arm,
imm_body_site,LUAQ,LUAQ=left upper abd quadrant,4314121,,
imm_body_site,RA,RA=right arm,44517192,right arm,
imm_body_site,RD,RD=right deltoid,35632107,right deltoid,
imm_body_site,RLAQ,RLAQ=right lower abd quadrant,4174976,Right lower quad. abdomen,
imm_body_site,RLFA,RLFA=right lower forearm,4271843,Right Lower Forearm,
imm_body_site,RT,RT=right thigh,4008238,Right Thigh,
imm_body_site,RUAQ,RUAQ=right abd quadrant,4196689,Right upper quad. abdomen,
imm_body_site,RVL,RVL=right vastus lateralis,4031702,Right vastus lateralis,
imm_body_site,OT,OT=Other,44814649,other,
imm_body_site,UN,unknown,44814653,unknown,
imm_body_site,NI,No information,44814650,no information,
vx_manufacturer,AB,AB=Abbott Laboratories,Abbott,,
vx_manufacturer,AD,"AD=Adams Laboratories, Inc.",Adams,,
vx_manufacturer,ALP,ALP=Alpha Therapeutic Corporation,Alpha Therapeutic Corp,,
vx_manufacturer,AVB,AVB=Aventis Behring L.L.C.,Aventis Behring,,
vx_manufacturer,AVI,AVI=Aviron,Aviron,,
vx_manufacturer,BRR,BRR=Barr Laboratories,"Barr Laboratories, Inc.",,
vx_manufacturer,BAH,BAH=Baxter Healthcare Corporation,Baxter Healthcare Corporation,,
vx_manufacturer,SCL,"SCL=Sclavo, Inc.",Biocine/Sclavo,,
vx_manufacturer,BTP,BTP=Biotest Pharmaceuticals Corporation,Biotest Pharmaceuticals Corporation,,
vx_manufacturer,CNJ,CNJ=Cangene Corporation,Cangene Corporation,,
vx_manufacturer,CHI,CHI=Chiron Corporation,Chiron,,
vx_manufacturer,CON,CON=Connaught,Connaught,,
vx_manufacturer,MIP,MIP=Emergent BioSolutions,Emergent BioSolutions,,
vx_manufacturer,SKB,SKB=GlaxoSmithKline,GlaxoSmithKline,,
vx_manufacturer,GRF,GRF=Grifols,Grifols,,
vx_manufacturer,IDB,IDB=ID Biomedical,ID Biomedical,,
vx_manufacturer,IUS,IUS=Immuno-U.S. Inc.,Immuno-U.S. Inc,,
vx_manufacturer,LED,LED=Lederle,Lederle,,
vx_manufacturer,MBL,MBL=Massachusetts Biologic Laboratories,Massachusetts Biologic Laboratories,,
vx_manufacturer,MED,"MED=MedImmune, Inc.","MedImmune, Inc. (AstraZeneca)",,
vx_manufacturer,MSD,"MSD=Merck and Co., Inc.","Merck & Co., Inc.",,
vx_manufacturer,IM,IM=Merieux,Merieux,,
vx_manufacturer,NI,NI=No information,Not Applicable,,
vx_manufacturer,NOV,NOV=Novartis Pharmaceutical Corporation,Novartis,,
vx_manufacturer,OTC,OTC=Organon Teknika Corporation,Organon Inc,,
vx_manufacturer,ORT,ORT=Ortho-clinical Diagnostics,Ortho Diagnostic Systems,,
vx_manufacturer,OT,OT=Other,Other,,
vx_manufacturer,PFR,"PFR=Pfizer, Inc",Pfizer,,
vx_manufacturer,PSC,PSC=Protein Sciences,Protein Sciences Corp,,
vx_manufacturer,PMC,PMC=Sanofi Pasteur,Sanofi Pasteur,,
vx_manufacturer,SEQ,SEQ=Seqirus,Seqiris,,
vx_manufacturer,SOL,SOL=Solvay Pharmaceuticals,Solvay Pharmaceuticals,,
vx_manufacturer,TAL,TAL=Talecris Biotherapeutics,Talecris Biotherapeutics,,
vx_manufacturer,VAL,VAL=Valneva,Valneva SE,,
vx_manufacturer,WAL,WAL=Wyeth,Wyeth,,
vx_manufacturer,ZLB,ZLB=ZLB Behring,ZLB Behring,,
vx_manufacturer,AKR,"AKR=Akorn, Inc",AKORN,,
vx_manufacturer,BA,BA=Baxter Healthcare Corporation-inactive,Baxter Healthcare Corp,,
vx_manufacturer,CSL,CSL=bioCSL,BIOCSL,,
vx_manufacturer,GEO,"GEO=GeoVax Labs, Inc.",GeoVax Labs Inc,,
vx_manufacturer,INT,INT=Intercell Biomedical,Intercell Biomedical,,
vx_manufacturer,MA,MA=Massachusetts Public Health Biologic Laboratories,Massachusetts Public Health Biologic Laboratories,,
vx_manufacturer,NVX,"NVX=Novavax, Inc",Novavax Inc,,
vx_manufacturer,OTH,OTH=Other manufacturer,Other Manufacturer,,
vx_manufacturer,PD,PD=Parkedale Pharmaceuticals,Parkedale Pharmaceuticals,,
vx_manufacturer,USA,USA=United States Army Medical Research and Material Command,United States Army Medical Research and Material Command,,
vx_manufacturer,UN,UN=Unknown,Unknown,,
vx_manufacturer,VXG,VXG=VaxGen,VaxGen,,
vx_manufacturer,WA,WA=Wyeth-Ayerst,Wyeth-Ayerst,,
imm_body_site_source,BE,bilateral ears,,,
imm_body_site_source,BN,bilateral nares,,,
imm_body_site_source,LAC,left anterior chest,,,
imm_body_site_source,LACF,left antecubital fossa,,,
imm_body_site_source,LE,left ear,,,
imm_body_site_source,LEJ,left external jugular,,,
imm_body_site_source,LF,left foot,,,
imm_body_site_source,LH,left hand,,,
imm_body_site_source,LIJ,left internal jugular,,,
imm_body_site_source,LMFA,left mid forearm,,,
imm_body_site_source,LN,left naris,,,
imm_body_site_source,LPC,left posterior chest,,,
imm_body_site_source,LSC,left subclavian,,,
imm_body_site_source,LUFA,left upper forearm,,,
imm_body_site_source,LVG,left ventragluteal,,,
imm_body_site_source,LVL,left vastus lateralis,,,
imm_body_site_source,OD,right eye,,,
imm_body_site_source,OS,left eye,,,
imm_body_site_source,OU,bilateral eyes,,,
imm_body_site_source,PA,perianal,,,
imm_body_site_source,PERIN,perineal,,,
imm_body_site_source,RAC,right anterior chest,,,
imm_body_site_source,RACF,right antecubital fossa,,,
imm_body_site_source,RE,right ear,,,
imm_body_site_source,RG,right gluteus medius,,,
imm_body_site_source,RIJ,right internal jugular,,,
imm_body_site_source,RMFA,right mid forearm,,,
imm_body_site_source,RN,right naris,,,
imm_body_site_source,RPC,right posterior chest,,,
imm_body_site_source,RSC,right subclavian,,,
imm_body_site_source,RUFA,right upper forearm,,,
imm_body_site_source,RVG,RVG=right ventragluteal,,,
vx_manufacturer_source,AB,Abbott Laboratories,,,
vx_manufacturer_source,ACA,Acambis,,,
vx_manufacturer_source,AD,Adams Laboratories,,,
vx_manufacturer_source,ALP,Alpha Therapeutic Corporation,,,
vx_manufacturer_source,AR,Armour,,,
