PCORnet_field,Source_CDM,Source_table,Source_table_alias,Source_field,join condition,extraction condition
lab_result_cm_id,PEDSnet,measurement,M,measurement_id,,measurement_type_Concept_id = 44818702
patid,PEDSnet,measurement,M,person_id,,
encounterid,PEDSnet,measurement,M,visit_occurrence_id,,
lab_name,PEDSnet,measurement,M,measurement_concept_id,,
specimen_source,PEDSnet,measurement,M,specimen_source_value,,
lab_loinc,PEDSnet,measurement,M,measurement_concept_id,,
priority,PEDSnet,measurement,M,priority_concept_id,,
result_loc,PEDSnet,measurement,M,measurement_source_value,,
lab_px,,,,,,hardcode as  NULL
lab_px_type,,,,,,hardcode as  NULL
lab_order_date,PEDSnet,measurement,M,measurement_order_date,,
specimen_date,PEDSnet,measurement,M,measurement_date,,
specimen_time,PEDSnet,measurement,M,measurement_time,,
result_date,PEDSnet,measurement,M,measurement_result_date,,
result_time,PEDSnet,measurement,M,measurement_result_time,,
result_qual,,,,,,hardcode as NULL
result_num,PEDSnet,measurement,M,value_as_number,,
result_modifier,PEDSnet,measurement,M,operator_concept_id,,
result_unit,PEDSnet,measurement,M,unit_concept_id,,
norm_range_low,PEDSnet,measurement,M,range_low,,
norm_modifier_low,PEDSnet,measurement,M,range_low_operator_concept_id,,
norm_range_high,PEDSnet,measurement,M,range_high,,
norm_modifier_high,PEDSnet,measurement,M,range_high_operator_concept_id,,
abn_ind,,,,,,hardcode as NULL
raw_lab_name,PEDSnet,measurement,M,measurement_concept_id,,
raw_lab_code,PEDSnet,measurement,M,measurement_source_value,,
raw_panel,,,,,,hardcode as NULL
raw_result,PEDSnet,measurement,M,value_as_number,,
raw_unit,PEDSnet,measurement,M,unit_source_value,,
raw_order_dept,,,,,,hardcode as NULL
raw_facility_code,,,,,,hardcode as NULL
