PCORnet_field,Source_CDM,Source_table,Source_table_alias,Source_field,join condition,extraction condition
prescribingid,PEDSnet,drug_exposure,DE,drug_exposure_id,,drug_type_concept_id IN ('38000177') 
patid,PEDSnet,drug_exposure,DE,person_id,,
encounterid,PEDSnet,drug_exposure,DE,visit_occurrence_id,,
rx_providerid,PEDSnet,drug_exposure,DE,provider_id,,
rx_order_date,PEDSnet,drug_exposure,DE,drug_exposure_start_date,,
rx_order_time,PEDSnet,drug_exposure,DE,drug_exposure_start_time,,
rx_start_date,PEDSnet,drug_exposure,DE,drug_exposure_start_date,,
rx_end_date,PEDSnet,drug_exposure,DE,drug_exposure_end_date,,
rx_quantity,PEDSnet,drug_exposure,DE,quantity,,
rx_quantity_unit,,,,,,need to work on this
rx_refills,PEDSnet,drug_exposure,DE,refills,,
rx_days_supply,PEDSnet,drug_exposure,DE,days_supply,,
rx_frequency,PEDSnet,drug_exposure,DE,frequency,,
rx_basis,PEDSnet,drug_exposure,DE,drug_type_concept_id,,
rxnorm_cui,PEDSnet,drug_exposure,DE,drug_concept_id,,
raw_rx_med_name,PEDSnet,drug_exposure,DE,drug_concept_id,,
raw_rx_frequency,PEDSnet,drug_exposure,DE,frequency,,
raw_rxnorm_cui,PEDSnet,drug_exposure,DE,drug_source_concept_id,,
raw_rx_quantity,PEDSnet,drug_exposure,DE,quantity,,
raw_rx_ndc,,,,,,hardcode to NULL
