class,pcornet_code,pcornet_name,pedsnet_code,pedsnet_name
Route,ARTERIOVENOUS_FISTULA,Arteriovenous fistula route (qualifier value),,
Route,ARTERIOVENOUS_GRAFT,Arteriovenous graft route (qualifier value),,
Route,BODY_CAVITY,Body cavity route (qualifier value),4222254,Body cavity use
Route,BUCCAL,Buccal route (qualifier value),4181897,Buccal
Route,CAUDAL,Caudal route (qualifier value),,
Route,COLOSTOMY,Colostomy route (qualifier value),,
Route,CONJUNCTIVAL,Conjunctival route (qualifier value),,
Route,CUTANEOUS,Cutaneous route (qualifier value),4263689,Cutaneous
Route,DENTAL,Dental route (qualifier value),4163765,Dental
Route,DIGESTIVE_TRACT,Digestive tract route (qualifier value),,
Route,ENDOCERVICAL,Endocervical route (qualifier value),4186831,Endocervical
Route,ENDOSINUSIAL,Endosinusial route (qualifier value),4157756,Endosinusial
Route,ENDOTRACHEOPULMONARY,Endotracheopulmonary route (qualifier value),4186832,Endotracheopulmonary
Route,ENTERAL,Enteral route (qualifier value),,
Route,EPIDURAL,Epidural route (qualifier value),4225555,Epidural
Route,ESOPHAGOSTOMY,Esophagostomy route (qualifier value),,
Route,EXTRA_AMNIOTIC,Extra-amniotic route (qualifier value),4186833,Extraamniotic
Route,EXTRACORPOREAL,Extracorporeal route (qualifier value),,
Route,FISTULA,Fistula route (qualifier value),,
Route,GASTRO_INTESTINAL_STOMA,Gastro-intestinal stoma route (qualifier value),,
Route,GASTROENTERAL,Gastroenteral route (qualifier value),4186834,Gastroenteral
Route,GASTROSTOMY,Gastrostomy route (qualifier value),,
Route,GINGIVAL,Gingival route (qualifier value),4156704,Gingival
Route,ILEOSTOMY,Ileostomy route (qualifier value),,
Route,INTERSTITIAL,Interstitial route (qualifier value),,
Route,INTRA_ARTERIAL,Intra-arterial route (qualifier value),4240824,Intraarterial
Route,INTRA_ARTICULAR,Intra-articular route (qualifier value),4006860,Intraarticular
Route,INTRAABDOMINAL,Intraabdominal route (qualifier value),,
Route,INTRAAMNIOTIC,Intraamniotic route (qualifier value),4163767,Intraamniotic
Route,INTRABILIARY,Intrabiliary route (qualifier value),,
Route,INTRABRONCHIAL,Intrabronchial route (qualifier value),,
Route,INTRABURSAL,Intrabursal route (qualifier value),4163768,Intrabursal
Route,INTRACAMERAL,Intracameral route (qualifier value),4303409,Intracameral
Route,INTRACARDIAC,Intracardiac route (qualifier value),4156705,Intracardiac
Route,INTRACARTILAGINOUS,Intracartilaginous route (qualifier value),,
Route,INTRACAVERNOUS,Intracavernous route (qualifier value),4157757,Intracavernous
Route,INTRACEREBRAL,Intracerebral route (qualifier value),,
Route,INTRACEREBROVENTRICULAR,Intracerebroventricular route (qualifier value),4224886,Intracerebroventricular
Route,INTRACISTERNAL,Intracisternal route (qualifier value),,
Route,INTRACOLONIC,Intracolonic route (qualifier value),,
Route,INTRACORNEAL,Intracorneal route (qualifier value),,
Route,INTRACORONAL,Intracoronal route (qualifier value),,
Route,INTRACORONARY,Intracoronary route (qualifier value),4186836,Intracoronary
Route,INTRACORPUS_CAVERNOSUM,Intracorpus cavernosum route (qualifier value),,
Route,INTRACRANIAL,Intracranial route (qualifier value),,
Route,INTRADERMAL,Intradermal route (qualifier value),4156706,Intradermal
Route,INTRADISCAL,Intradiscal route (qualifier value),4163769,Intradiscal
Route,INTRADUCTAL,Intraductal route (qualifier value),,
Route,INTRADUODENAL,Intraduodenal route (qualifier value),,
Route,INTRADURAL,Intradural route (qualifier value),,
Route,INTRAEPICARDIAL,Intraepicardial route (qualifier value),,
Route,INTRAEPIDERMAL,Intraepidermal route (qualifier value),,
Route,INTRAESOPHAGEAL,Intraesophageal route (qualifier value),,
Route,INTRAGASTRIC,Intragastric route (qualifier value),,
Route,INTRAGINGIVAL,Intragingival route (qualifier value),,
Route,INTRAHEPATIC,Intrahepatic route (qualifier value),,
Route,INTRAILEAL,Intraileal route (qualifier value),,
