class,pcornet_code,pcornet_name,pedsnet_code,pedsnet_name
Payer,1,MEDICARE,,
Payer,11,Medicare (Managed Care),,
Payer,111,Medicare HMO,Medicare-HMO,
Payer,112,Medicare PPO,Medicare-PPO,
Payer,113,Medicare POS,Medicare-POS,
Payer,119,Medicare Managed Care Other,,
Payer,12,Medicare (Non-managed Care),,
Payer,121,Medicare FFS,Medicare-Fee for service,
Payer,122,Medicare Drug Benefit,,
Payer,123,Medicare Medical Savings Account (MSA),,
Payer,129,Medicare Non-managed Care Other,,
Payer,13,Medicare Hospice,,
Payer,14,Dual Eligibility Medicare/Medicaid Organization,,
Payer,19,Medicare Other,Medicare-Other/Unknown,
Payer,191,Medicare Pharmacy Benefit Manager,,
Payer,2,MEDICAID,,
Payer,21,Medicaid (Managed Care),,
Payer,211,Medicaid HMO,,
Payer,212,Medicaid PPO,,
Payer,213,Medicaid PCCM (Primary Care Case Management),,
Payer,219,Medicaid Managed Care Other,,
Payer,22,Medicaid (Non-managed Care Plan),,
Payer,23,Medicaid/SCHIP,Medicaid/sCHIP-HMO,
Payer,23,Medicaid/SCHIP,Medicaid/sCHIP-PPO,
Payer,23,Medicaid/SCHIP,Medicaid/sCHIP-POS,
Payer,23,Medicaid/SCHIP,Medicaid/sCHIP-Other/Unknown,
Payer,24,Medicaid Applicant,,
Payer,25,Medicaid - Out of State,,
Payer,26,Medicaid  Long Term Care,,
Payer,29,Medicaid Other,,
Payer,291,Medicaid Pharmacy Benefit Manager,,
Payer,299,Medicaid - Dental,,
Payer,3,OTHER GOVERNMENT (Federal/State/Local) (excluding Department of Corrections),,
Payer,31,Department of Defense,,
Payer,311,TRICARE (CHAMPUS),,
Payer,3111,TRICARE PrimeHMO,,
Payer,3112,TRICARE ExtraPPO,,
Payer,3113,TRICARE Standard - Fee For Service,,
Payer,3114,TRICARE For Life--Medicare Supplement,,
Payer,3115,TRICARE Reserve Select,,
Payer,3116,Uniformed Services Family Health Plan (USFHP) -- HMO,,
Payer,3119,Department of Defense - (other),,
Payer,312,Military Treatment Facility,,
Payer,3121,Enrolled PrimeHMO,,
Payer,3122,Non-enrolled Space Available,,
Payer,3123,TRICARE For Life (TFL),,
