class,pcornet_code,pcornet_name,pedsnet_code,pedsnet_name
Rx Dose Form,AUGMENTED_TOPICAL_CREAM,Augmented Topical Cream,19135438,Augmented Topical Cream
Rx Dose Form,AUGMENTED_TOPICAL_GEL,Augmented Topical Gel,19135446,Augmented Topical Gel
Rx Dose Form,AUGMENTED_TOPICAL_LOTION,Augmented Topical Lotion,19135439,Augmented Topical Lotion
Rx Dose Form,AUGMENTED_TOPICAL_OINTMENT,Augmented Topical Ointment,19135440,Augmented Topical Ointment
Rx Dose Form,BAR_SOAP,Bar Soap,19057400,Bar Soap
Rx Dose Form,BEADS,Beads,19082254,Beads
Rx Dose Form,BUCCAL_FILM,Buccal Film,40164192,Buccal Film
Rx Dose Form,BUCCAL_TABLET,Buccal Tablet,40175589,Buccal Tablet
Rx Dose Form,CAKE,Cake,,
Rx Dose Form,CEMENT,Cement,19124967,Cement
Rx Dose Form,CHEWABLE_BAR,Chewable Bar,19082075,Chewable Bar
Rx Dose Form,CHEWABLE_TABLET,Chewable Tablet,19135866,Chewable Tablet
Rx Dose Form,CHEWING_GUM,Chewing Gum,19102296,Chewing Gum
Rx Dose Form,CRYSTALS,Crystals,,
Rx Dose Form,DISINTEGRATING_TABLET,Disintegrating Tablet,19082076,Disintegrating Oral Tablet
Rx Dose Form,DISK,Disk,19082630,Disk
Rx Dose Form,DOUCHE,Douche,19112648,Douche
Rx Dose Form,DRUG_IMPLANT,Drug Implant,19124968,Drug Implant
Rx Dose Form,DRY_POWDER_INHALER,Dry Powder Inhaler,19127579,Dry Powder Inhaler
Rx Dose Form,ENEMA,Enema(Rectal Solution; Rectal Suspension),19082627,Enema
Rx Dose Form,ENTERIC_COATED_CAPSULE,Enteric Coated Capsule,,
Rx Dose Form,ENTERIC_COATED_TABLET,Enteric Coated Tablet,,
Rx Dose Form,EXTENDED_RELEASE_CAPSULE,Extended Release Capsule,19082077,Extended Release Oral Capsule
Rx Dose Form,EXTENDED_RELEASE_ENTERIC_COATED_CAPSULE,Extended Release Enteric Coated Capsule,,
Rx Dose Form,EXTENDED_RELEASE_ENTERIC_COATED_TABLET,Extended Release Enteric Coated Tablet,,
Rx Dose Form,EXTENDED_RELEASE_SUSPENSION,Extended Release Suspension,19082080,Extended Release Suspension
Rx Dose Form,EXTENDED_RELEASE_TABLET,Extended Release Tablet,19082079,Extended Release Oral Tablet
Rx Dose Form,FLAKES,Flakes,,
Rx Dose Form,GAS_FOR_INHALATION,Gas for Inhalation,19082258,Gas for Inhalation
Rx Dose Form,GRANULES,Granules,45775489,Granules for Oral Solution
Rx Dose Form,GRANULES,Granules,45775490,Granules for Oral Suspension
Rx Dose Form,INHALANT_POWDER,Inhalant Powder(Powdered Dose Inhaler),19082259,Inhalant Powder
Rx Dose Form,INHALANT_SOLUTION,Inhalant Solution,19095898,Inhalant Solution
Rx Dose Form,INJECTABLE_SOLUTION,Injectable Solution,19082103,Injectable Solution
Rx Dose Form,INJECTABLE_SUSPENSION,Injectable Suspension,19082104,Injectable Suspension
Rx Dose Form,INTRAPERITONEAL_SOLUTION,Intraperitoneal Solution,19082105,Intraperitoneal Solution
Rx Dose Form,IRRIGATION_SOLUTION,Irrigation Solution,19016586,Irrigation Solution
Rx Dose Form,LOZENGE,Lozenge(Oral Troche),,
Rx Dose Form,MEDICATED_BAR_SOAP,Medicated Bar Soap,19082108,Medicated Bar Soap
Rx Dose Form,MEDICATED_LIQUID_SOAP,Medicated Liquid Soap,19082109,Medicated Liquid Soap
Rx Dose Form,MEDICATED_PAD,Medicated Pad(Medicated Swab),19130307,Medicated Pad
Rx Dose Form,MEDICATED_SHAMPOO,Medicated Shampoo,19008697,Medicated Shampoo
Rx Dose Form,MEDICATED_TAPE,Medicated Tape,19130329,Medicated Tape
Rx Dose Form,METERED_DOSE_INHALER,Metered Dose Inhaler,19126918,Metered Dose Inhaler
Rx Dose Form,MOUTHWASH,Mouthwash(Oral Rinse; Topical Dental Solution),19126590,Mouthwash
Rx Dose Form,MUCOSAL_SPRAY,Mucosal Spray,19095900,Mucosal Spray
Rx Dose Form,MUCUS_MEMBRANE_TOPICAL_SOLUTION,Mucus Membrane Topical Solution,19082110,Mucous Membrane Topical Solution
Rx Dose Form,NASAL_CREAM,Nasal Cream,19082161,Nasal Cream
Rx Dose Form,NASAL_GEL,Nasal Gel(Nasal Jelly),19082163,Nasal Gel
Rx Dose Form,NASAL_INHALANT,Nasal Inhalant,19082162,Nasal Inhalant
Rx Dose Form,NASAL_INHALER,Nasal Inhaler,19126919,Nasal Inhaler
Rx Dose Form,NASAL_OINTMENT,Nasal Ointment,19082164,Nasal Ointment
Rx Dose Form,NASAL_SOLUTION,Nasal Solution(Nasal Drops; Nose Drops),19082165,Nasal Solution
Rx Dose Form,NASAL_SPRAY,Nasal Spray,19011167,Nasal Spray
Rx Dose Form,NASAL_SUSPENSION,Nasal Suspension(Nasal Drops; Nose Drops),19095977,Nasal Suspension
Rx Dose Form,OPHTHALMIC_CREAM,Ophthalmic Cream,19082576,Ophthalmic Cream
Rx Dose Form,OPHTHALMIC_GEL,Ophthalmic Gel(Ophthalmic Jelly),19082166,Ophthalmic Gel
Rx Dose Form,OPHTHALMIC_IRRIGATION_SOLUTION,Ophthalmic Irrigation Solution,19059413,Ophthalmic Irrigation Solution
Rx Dose Form,OPHTHALMIC_OINTMENT,Ophthalmic Ointment,19135925,Ophthalmic Ointment
Rx Dose Form,OPHTHALMIC_SOLUTION,Ophthalmic Solution(Ophthalmic Drops; Eye Drops),19129634,Ophthalmic Solution
Rx Dose Form,OPHTHALMIC_SUSPENSION,Ophthalmic Suspension(Ophthalmic Drops; Eye Drops),19082167,Ophthalmic Suspension
Rx Dose Form,ORAL_CAPSULE,Oral Capsule,19082168,Oral Capsule
Rx Dose Form,ORAL_CREAM,Oral Cream,19082169,Oral Cream
Rx Dose Form,ORAL_FOAM,Oral Foam,19095971,Oral Foam
Rx Dose Form,ORAL_GEL,Oral Gel(Oral Jelly),19095916,Oral Gel
Rx Dose Form,ORAL_OINTMENT,Oral Ointment,19095975,Oral Ointment
Rx Dose Form,ORAL_PASTE,Oral Paste,19095918,Oral Paste
Rx Dose Form,ORAL_POWDER,Oral Powder,19095976,Oral Powder
Rx Dose Form,ORAL_SOLUTION,Oral Solution(Oral Drops),19082170,Oral Solution
Rx Dose Form,ORAL_SPRAY,Oral Spray,19095911,Oral Spray
Rx Dose Form,ORAL_STRIP,Oral Strip,19126316,Oral Strip
Rx Dose Form,ORAL_SUSPENSION,Oral Suspension(Oral Drops),19082191,Oral Suspension
Rx Dose Form,ORAL_TABLET,Oral Tablet(Caplet),19082573,Oral Tablet
Rx Dose Form,OTIC_CREAM,Otic Cream,19082193,Otic Cream
Rx Dose Form,OTIC_OINTMENT,Otic Ointment,19082194,Otic Ointment
Rx Dose Form,OTIC_SOLUTION,Otic Solution(Otic Drops; Ear Drops),19082195,Otic Solution
Rx Dose Form,OTIC_SUSPENSION,Otic Suspension(Otic Drops; Ear Drops),19082196,Otic Suspension
Rx Dose Form,PASTE,Paste,19102295,Paste
Rx Dose Form,PELLET,Pellet,,
Rx Dose Form,POWDER_SPRAY,Powder Spray,19082281,Powder Spray
Rx Dose Form,PREFILLED_APPLICATOR,Prefilled Applicator,19129139,Prefilled Applicator
Rx Dose Form,PREFILLED_SYRINGE_,"Prefilled Syringe (Cartridge, Pen)",19126920,Prefilled Syringe
Rx Dose Form,PUDDING,Pudding,19082675,Pudding
Rx Dose Form,RECTAL_CREAM,Rectal Cream,19082197,Rectal Cream
Rx Dose Form,RECTAL_FOAM,Rectal Foam,19082574,Rectal Foam
Rx Dose Form,RECTAL_GEL,Rectal Gel(Rectal Jelly),19095917,Rectal Gel
Rx Dose Form,RECTAL_OINTMENT,Rectal Ointment,19082282,Rectal Ointment
Rx Dose Form,RECTAL_POWDER,Rectal Powder,19082198,Rectal Powder
Rx Dose Form,RECTAL_SPRAY,Rectal Spray,19082199,Rectal Spray
Rx Dose Form,RECTAL_SUPPOSITORY,Rectal Suppository,19082200,Rectal Suppository
