PCORnet_field,Source_CDM,Source_table,Source_table_alias,Source_field,join condition,extraction condition
dispensingid,PEDSnet,drug_exposure,DE,drug_exposure_id,,drug_type_concept_id = '38000175' 
patid,PEDSnet,drug_exposure,DE,person_id,,
prescribingid,,,,,,hardcode as NULL
dispense_date,PEDSnet,drug_exposure,DE,drug_exposure_start_date,,
ndc,Vocabulary,concept,C1,concept_code,DE.drug_source_concept_id= C1.concept_id,C1.vocabulary='NDC'
,Custom,rxnorm_to_ndc_crosswalk,C2,ndc_concept_code,DE.drug_concept_id = c2.rxnorm_concept_id,
,PEDSnet,drug_exposure,DE,drug_source_value,,
dispense_sup,PEDSnet,drug_exposure,DE,days_supply,,
dispense_amt,PEDSnet,drug_exposure,DE,quantity,,
raw_ndc,PEDSnet,drug_exposure,DE,drug_source_value,,
