PCORnet_field,Source_CDM,Source_table,Source_table_alias,Source_field,join condition,extraction condition
proceduresid,PEDSnet,procedure_occurrence,P,procedure_occurrence_id,,
patid,PEDSnet,procedure_occurrence,P,person_id,,
encounterid,PEDSnet,procedure_occurrence,P,visit_occurrence_id,,
enc_type,PCORnet,encounter,E,enc_type,E.encounterid = P.visit_occurrence_id,
admit_date,PCORnet,encounter,E,admit_date,,
providerid,PCORnet,encounter,E,providerid,,
px_date,PEDSnet,procedure_occurrence,P,procedure_date,,
px,Vocabulary,concept,C1,concept_code,C.concept_id = P.procedure_concept_id,
px,Vocabulary,concept,C2,concept_code,C.concept_id = P.procedure_source_concept_id,
px,PEDSnet,procedure_occurrence,P,procedure_source_value,,
px_type,Vocabulary,concept,C1,vocabulary_id,,
px_source,,,,,,hardcode 'OT'
raw_px,PEDSnet,procedure_occurrence,P,procedure_source_value,,
raw_px_type,Vocabulary,concept,C2,vocabulary_id,,
