PCORnet_field,Source_CDM,Source_table,Source_table_alias,Source_field,join condition,extraction condition
diagnosisid,PEDSnet,condition_occurrence,CO,condition_occurrence_id,,"condition_type_concept_id not in ( 2000000089, 2000000090, 2000000091)"
patid,PEDSnet,condition_occurrence,CO,person_id,,
encounterid,PEDSnet,condition_occurrence,CO,visit_occurrence_id,,
enc_type,PCORnet,encounter,E,enc_type,E.encounterid = CO.visit_occurrence_id,
admit_date,PCORnet,encounter,E,admit_date,,
providerid,PCORnet,encounter,E,providerid,,
dx,PEDSnet,condition_occurrence,CO,"condition_concept_id, condition_source_concept_id, condition_source_value",,
dx_type,PEDSnet,condition_occurrence,CO,"condition_concept_id, condition_source_concept_id",,
dx_source,PEDSnet,condition_occurrence,CO,condition_type_concept_id,,
dx_origin,PEDSnet,condition_occurrence,CO,condition_type_concept_id,,
pdx,PEDSnet,condition_occurrence,CO,condition_type_concept_id,,
raw_dx,PEDSnet,condition_occurrence,CO,condition_source_value,,
raw_dx_type,PEDSnet,condition_occurrence,CO,condition_source_concept_id,,
raw_dx_source,PEDSnet,condition_occurrence,CO,condition_type_concept_id,,
raw_pdx,PEDSnet,condition_occurrence,CO,condition_type_concept_id,,
