LOINC,LongName,Component
11294-6,Current employment Narrative - Reported,Current employment
11295-3,Current employment - Reported,Current employment
11296-1,ED clinical finding practitioner identifier,ED clinical finding practitioner ID
11298-7,ED consultant practitioner identifier,ED consultant practitioner ID
11312-6,ED procedure practitioner identifier,ED procedure practitioner ID
11318-3,Ambulance transport agency EMS system,Ambulance transport agency
11319-1,Ambulance transport unit [Identifier] EMS system,Ambulance transport unit
11340-7,History of Occupation Narrative,Occupation
11341-5,History of Occupation,Occupation
11513-9,Provider.signing [Identifier] Report,Provider.signing
11530-3,Surgeon.assisting [Identifier],Surgeon.assisting
11531-1,Surgeon.resident [Identifier],Surgeon.resident
11532-9,Surgeon.staff [Identifier],Surgeon.staff
18694-0,ED consultant practitioner name,ED consultant practitioner name
18700-5,ED practitioner name,ED practitioner name
18705-4,ED referring practitioner name,ED referring practitioner name
18770-8,Dictating practitioner name,Dictating practitioner name
18771-6,Provider signing name,Provider.signing name
18772-4,Surgeon.resident name,Surgeon.resident name
18773-2,Surgeon.staff name,Surgeon.staff name
19111-4,Mother's hospital number,Hospital number
21842-0,Birthplace,Birthplace
21851-1,Address at cancer diagnosis,Address at cancer XXX Dx
22018-6,Military patient number,Military patient number
22019-4,Death certificate number,Death certificate number
22020-2,Maiden name,Maiden name
22021-0,Institution referred from Cancer registry,Institution referred from
22022-8,Institution referred to Cancer registry,Institution referred to
22023-6,Last follow-up hospital [Identifier] Cancer registry,Last follow-up hospital
22024-4,Following registry [Identifier] Cancer registry,Following registry
22025-1,Physician managing [Identifier],Physician managing
22026-9,Physician follow up [Identifier],Physician follow up
22027-7,Surgeon primary [Identifier],Surgeon primary
22028-5,Physician [Identifier],Physician
30947-6,Date form completed,Date form completed
39233-2,"Screen test, other name CPHS","Screen test, other name"
39250-6,"Program participation, name CPHS","Program participation, name"
39268-8,"Follow-up (referred to) provider /specialist, name CPHS","Follow-up (referred to) provider &or specialist, name"
39270-4,"Follow-up (referred to) provider /specialist, address CPHS","Follow-up (referred to) provider &or specialist, address"
39271-2,"Follow-up (referred to) provider /specialist, phone CPHS","Follow-up (referred to) provider &or specialist, phone"
39275-3,"Follow-up (referred to) program, name CPHS","Follow-up (referred to) program, name"
39276-1,"Follow-up (referred to) program, address CPHS","Follow-up (referred to) program, address"
39277-9,"Follow-up (referred to) program, phone CPHS","Follow-up (referred to) program, phone"
39281-1,"Responsible party, name CPHS","Responsible party, name"
39282-9,"Responsible party, home phone number CPHS","Responsible party, home phone number"
39284-5,Patient escort information panel,Patient escort information panel
39285-2,Escort Name,Name
39286-0,Escort Relationship to patient,Relationship to patient
42077-8,Patient phone number,Phone number
42106-5,Archive facility identification number Cancer,Archive facility identification number
42127-1,Name of follow-up contact,Name of follow-up contact
44780-5,Organ donor ID number Narrative,Organ donor ID number
44951-2,Physician NPI [Identifier],Physician NPI
44952-0,Surgeon primary NPI [Identifier] Provider,Surgeon primary NPI
44953-8,Physician follow up NPI [Identifier],Physician follow up NPI
44954-6,Physician managing NPI [Identifier],Physician managing NPI
44955-3,Archive facility identification number NPI Cancer,Archive facility identification number NPI
44956-1,Following registry NPI [Identifier] Cancer registry,Following registry NPI
44957-9,Institution referred to NPI Cancer registry,Institution referred to NPI
44958-7,Institution referred from NPI Cancer registry,Institution referred from NPI
44959-5,Hospital.reporting NPI [Identifier] Cancer,Hospital.reporting NPI
44960-3,Institution data source NPI Registry message,Institution data source NPI
45392-8,First (Given) name,First name
45393-6,Middle initial,Middle initial
45394-4,Last (Family) name,Last name
45395-1,Name suffix,Name suffix
45396-9,Social Security number [Identifier],Social Security number
45397-7,Medicare or comparable number,Medicare or comparable number
45398-5,State provider number for Facility,State provider number
45400-9,Medicaid number,Medicaid number
45401-7,Postal code [Location],Postal code
45402-5,Language.primary,Language.primary
45403-3,Room number [Location],Room number
45404-1,Marital status,Marital status
46098-0,Sex,Sex
46106-1,Medical record number [Identifier],Medical record number
46463-6,Race or ethnicity,Race or ethnicity
46499-0,State of residence,State of residence
49089-6,Sonographer [Identifier],Sonographer
52023-9,"Ambulance transport, Origination site name and address",Origination site name and address
52026-2,"Ambulance transport, Destination site name and address",Destination site name & address
52455-3,Admission date,Admission date
52462-9,Nickname,Nickname
52463-7,Patient Identification Number or Provider Account Number,Patient Identification Number or Provider Account Number
52526-1,Attending physician name,Attending physician name
52539-4,Prior postal code [Location],Prior postal code
52828-1,Federal provider name Facility,Federal provider name
52831-5,Postal code [Location] Facility,Postal code
54123-5,Sex of Family member,Sex
54136-7,Relationship to patient Family member,Relationship to patient
54503-8,Legal name of patient,Legal name of patient
54581-4,Facility provider numbers,Facility provider numbers
54588-9,Interpreter needed,Interpreter needed
54704-2,How important it is to be able to use the phone in private while in this facility [CMS Assessment],How important it is to be able to use the phone in private while in this facility
54899-0,Preferred language,Language.preferred
56051-6,Hispanic or Latino,Hispanic or Latino
56090-4,Hispanic origin,Hispanic origin
56794-1,Internal identifier,Internal identifier
56795-8,Account number [Identifier],Account number
56796-6,Emergency contact information panel,Emergency contact information panel
56797-4,Episode unique identifier,Episode unique identifier
56799-0,Address,Address
56802-2,Primary care provider [Identifier],Primary care provider
56803-0,ED attending physician [Identifier],ED attending physician
56804-8,ED nurse [Identifier] Provider,ED nurse
56805-5,ED accepting/admitting provider [Identifier],ED accepting or admitting provider
56806-3,ED transferring provider [Identifier],ED transferring provider
56807-1,ED transferring facility [Identifier],ED transferring facility
56808-9,ED accepting or admitting facility [Identifier],ED accepting or admitting facility
56809-7,ED tech [Identifier] Provider,ED tech
56810-5,ED triage nurse Provider,ED triage nurse
56811-3,Primary care clinic or system [Identifier] Facility,Primary care clinic or system
56812-1,Provider who accepted patient in transfer to another facility [Identifier],Provider who accepted patient in transfer to another facility
56855-0,Provider assuming ultimate responsibility for care for patient upon ED disposition [Identifier],Provider assuming ultimate responsibility for care for patient upon ED disposition
56856-8,Provider assuming care for patient upon ED disposition [Identifier],Provider assuming care for patient upon ED disposition
56862-6,Emergency contact Address,Address
56863-4,Emergency contact Phone number,Phone number
56870-9,ED facility ID,ED facility ID
62324-9,Post-discharge provider name in Provider,Post-discharge provider name
62326-4,Post-discharge provider practice name,Post-discharge provider practice name
62327-2,Post-discharge provider practice address,Post-discharge provider practice address
62328-0,Post-discharge provider practice phone number,Post-discharge provider practice phone number
62329-8,Birth hospital facility ID,Birth hospital facility ID
62330-6,Birth hospital facility name,Birth hospital facility name
62331-4,Birth hospital facility address,Birth hospital facility address
62332-2,Birth hospital facility phone number,Birth hospital facility phone number
62369-4,FISH probe name panel - Laboratory device,FISH probe name panel
63052-5,PhenX - current address protocol 010801,PhenX - current address protocol 010801
63492-3,Father birthplace,Birthplace
63498-0,Current street name [Location] [PhenX],Current street name
63517-7,Household member Relationship to patient,Relationship to patient
63726-4,From what date did you live in the residence,From what date did you live in the residence
63727-2,To what date did you live in the residence,To what date did you live in the residence
63728-0,"What is the residence address, street - crosstreets, city, state or landmark [PEG]","What is the residence address, street - crosstreets, city, state or landmark"
63754-6,"What was the name of the company where you first or next worked, for 6 months or longer [NHANES]","What was the name of the company where you first or next worked, for 6Mo or longer"
63781-9,Sex of Sibling,Sex
64604-2,Technician [Identifier],Technician ID
65645-4,Reviewer initials,Reviewer initials
65647-0,City Facility,City
65649-6,Country Facility,Country
65650-4,Email address Facility,Email address
65651-2,Phone number Facility,Phone number
65652-0,Testing facility name,Testing facility name
65833-6,Facility Address,Address
65840-1,Principal result interpreter phone number,Principal result interpreter phone number
65884-9,Photographer ID,Photographer ID
66276-7,Day name [PhenX],Day name
66280-9,School Name,Name
66302-1,Participant [Identifier],Participant ID
66506-7,Image name Hand [PhenX],Image name
66509-1,Image name Knee [PhenX],Image name
66512-5,Image name Hip [PhenX],Image name
66566-1,Image name Femur [PhenX],Image name
66567-9,Image name Spine [PhenX],Image name
67101-6,Dermatologist name Provider,Dermatologist name
67153-7,Abstractor [Identifier],Abstractor ID
67154-5,Nosologist [Identifier],Nosologist ID
67288-1,Race or ethnicity [The Position Generator],Race or ethnicity
67414-3,Region of origin [PhenX],Region of origin
67714-6,Diagnosing provider phone number,Diagnosing provider phone number
67878-9,Facility name Dialysis facility,Facility name
67884-7,Tribal enrollment,Tribal enrollment
68335-9,Self-dialysis training facility name Dialysis facility,Self-dialysis training facility name
68340-9,Attending physician phone number Provider,Attending physician phone number
68491-0,Self-dialysis training physician name Provider,Self-dialysis training physician name
69417-4,CMS certification number (CCN) for Facility,CMS certification number
69434-9,Location of death name Facility,Location of death name
69435-6,Street address where death occurred if not facility,Street address where death occurred if not facility
69854-8,"Hispanic, latino-a, or spanish origin","Hispanic, latino-a, or spanish origin"
71509-4,Phone number extension Dialysis facility [ESRD],Phone number extension
71530-0,Business name Dialysis facility [ESRD],Business name
71534-2,Phone number Dialysis facility [ESRD],Phone number
71591-2,Personnel Job title,Job title
71720-7,Personnel Address,Address
71723-1,Personnel Cell phone number,Cell phone number
71724-9,Personnel Home phone number,Home phone number
71725-6,Personnel Business phone number extension,Business phone number extension
71726-4,Personnel Business phone number,Business phone number
71727-2,Personnel Fax number,Fax number
71728-0,Personnel Email address,Email address
71729-8,Personnel Nine-digit postal code,Nine-digit postal code
71730-6,Personnel Five-digit postal code,Five-digit postal code
71731-4,Personnel State,State
71732-2,Personnel City,City
71733-0,Personnel Address 2,Address 2
71734-8,Personnel Preferred mailing address,Preferred mailing address
71735-5,Personnel Credentials,Credentials
