class,pcornet_code,pcornet_name,pedsnet_code,pedsnet_name,value_as_concept_id
Payer,1,MEDICARE,,,null
Payer,11,Medicare (Managed Care),,,null
Payer,111,Medicare HMO,Medicare-HMO,,null
Payer,112,Medicare PPO,Medicare-PPO,,null
Payer,113,Medicare POS,Medicare-POS,,null
Payer,119,Medicare Managed Care Other,,,null
Payer,12,Medicare (Non-managed Care),,,null
Payer,121,Medicare FFS,Medicare-Fee for service,,null
Payer,122,Medicare Drug Benefit,,,null
Payer,123,Medicare Medical Savings Account (MSA),,,null
Payer,129,Medicare Non-managed Care Other,,,null
Payer,13,Medicare Hospice,,,null
Payer,14,Dual Eligibility Medicare/Medicaid Organization,,,null
Payer,19,Medicare Other,Medicare-Other/Unknown,,null
Payer,191,Medicare Pharmacy Benefit Manager,,,null
Payer,2,MEDICAID,,,null
Payer,21,Medicaid (Managed Care),,,null
Payer,211,Medicaid HMO,,,null
Payer,212,Medicaid PPO,,,null
Payer,213,Medicaid PCCM (Primary Care Case Management),,,null
Payer,219,Medicaid Managed Care Other,,,null
Payer,22,Medicaid (Non-managed Care Plan),,,null
Payer,23,Medicaid/SCHIP,Medicaid/sCHIP-HMO,,null
Payer,23,Medicaid/SCHIP,Medicaid/sCHIP-PPO,,null
Payer,23,Medicaid/SCHIP,Medicaid/sCHIP-POS,,null
Payer,23,Medicaid/SCHIP,Medicaid/sCHIP-Other/Unknown,,null
Payer,24,Medicaid Applicant,,,null
Payer,25,Medicaid - Out of State,,,null
Payer,26,Medicaid  Long Term Care,,,null
Payer,29,Medicaid Other,,,null
Payer,291,Medicaid Pharmacy Benefit Manager,,,null
Payer,299,Medicaid - Dental,,,null
Payer,3,OTHER GOVERNMENT (Federal/State/Local) (excluding Department of Corrections),,,null
Payer,31,Department of Defense,,,null
Payer,311,TRICARE (CHAMPUS),,,null
Payer,3111,TRICARE PrimeHMO,,,null
Payer,3112,TRICARE ExtraPPO,,,null
Payer,3113,TRICARE Standard - Fee For Service,,,null
Payer,3114,TRICARE For Life--Medicare Supplement,,,null
Payer,3115,TRICARE Reserve Select,,,null
Payer,3116,Uniformed Services Family Health Plan (USFHP) -- HMO,,,null
Payer,3119,Department of Defense - (other),,,null
Payer,312,Military Treatment Facility,,,null
Payer,3121,Enrolled PrimeHMO,,,null
Payer,3122,Non-enrolled Space Available,,,null
Payer,3123,TRICARE For Life (TFL),,,null
Payer,313,Dental --Stand Alone,,,null
Payer,32,Department of Veterans Affairs,,,null
Payer,321,Veteran care--Care provided to Veterans,,,null
Payer,3211,Direct Care--Care provided in VA facilities,,,null
Payer,3212,Indirect Care--Care provided outside VA facilities,,,null
Payer,32121,Fee Basis,,,null
Payer,32122,Foreign Fee/Foreign Medical Program (FMP),,,null
Payer,32123,Contract Nursing Home/Community Nursing Home,,,null
Payer,32124,State Veterans Home,,,null
Payer,32125,Sharing Agreements,,,null
Payer,32126,Other Federal Agency,,,null
Payer,32127,Dental Care,,,null
Payer,32128,Vision Care,,,null
Payer,322,Non-veteran care,,,null
Payer,3221,Civilian Health and Medical Program for the VA (CHAMPVA),,,null
Payer,3222,Spina Bifida Health Care Program (SB),,,null
Payer,3223,Children of Women Vietnam Veterans (CWVV),,,null
Payer,3229,Other non-veteran care,,,null
Payer,33,Indian Health Service or Tribe,,,null
Payer,331,Indian Health Service  Regular,,,null
Payer,332,Indian Health Service  Contract,,,null
Payer,333,Indian Health Service - Managed Care,,,null
Payer,334,Indian Tribe - Sponsored Coverage,,,null
Payer,34,HRSA Program,,,null
Payer,341,Title V (MCH Block Grant),,,null
Payer,342,Migrant Health Program,,,null
Payer,343,Ryan White Act,,,null
Payer,349,Other,,,null
Payer,35,Black Lung,,,null
Payer,36,State Government,,,null
Payer,361,State SCHIP program (codes for individual states),,,null
Payer,362,Specific state programs (list/ local code),,,null
