PCORnet_field,Source_CDM,Source_table,Source_table_alias,Source_field,join condition,extraction condition
patid,PEDSnet,person,P,person_id,,
birth_date,PEDSnet,person,P,"day_of_birth, month_of_birth, year_of_birth",,
birth_time,PEDSnet,person,P,birth_datetime,,
sex,PEDSnet,person,P,gender_concept_id,,
sexual_orientation,,,,,,is null
gender_identity,,,,,,is null
hispanic,PEDSnet,person,P,ethnicity_concept_id,,
race,PEDSnet,person,P,race_concept_id,,
biobank_flag,,,,,,
raw_sex,PEDSnet,person,P,gender_source_value,,
raw_sexual_orientation,,,,,,
raw_gender_identity,PEDSnet,person,P,gender_source_value,,
raw_hispanic,PEDSnet,person,P,ethnicity_source_value,,
raw_race,PEDSnet,person,P,race_source_value,,
pat_pref_language_spoken,PEDSnet,person,p,language_concept_id,,
raw_pat_pref_language_spoken,PEDSnet,person,p,language_source_value,,
